customer_id,recency_days,frequency_count,monetary_value,r_score,f_score,m_score,rfm_combined_code,is_churned,cluster_id,customer_segment
13393.0,7,1,8.92,3,2,1,321,0,0,Best Customers
13585.0,13,1,12.75,1,1,1,111,0,0,Best Customers
14191.0,3,1,15.9,4,4,1,441,0,2,At Risk (Churn Danger)
13381.0,13,1,17.4,1,1,1,111,0,0,Best Customers
13666.0,10,1,19.5,2,2,1,221,0,0,Best Customers
15999.0,10,1,20.4,2,2,1,221,0,0,Best Customers
18037.0,13,1,21.95,1,1,1,111,0,0,Best Customers
17246.0,13,1,23.48,1,1,1,111,0,0,Best Customers
14173.0,5,1,23.6,4,3,1,431,0,2,At Risk (Churn Danger)
13883.0,6,1,24.65,3,3,1,331,0,2,At Risk (Churn Danger)
17916.0,8,1,25.46,3,2,1,321,0,0,Best Customers
14865.0,13,1,31.2,1,1,1,111,0,0,Best Customers
14977.0,0,1,31.93,5,4,1,541,0,2,At Risk (Churn Danger)
17557.0,7,1,34.0,3,3,1,331,0,0,Best Customers
18002.0,6,1,44.32,3,3,1,331,0,2,At Risk (Churn Danger)
17193.0,12,1,45.0,1,1,1,111,0,0,Best Customers
15672.0,0,1,45.3,5,4,1,541,0,2,At Risk (Churn Danger)
17184.0,5,1,50.55,4,3,1,431,0,2,At Risk (Churn Danger)
17707.0,7,1,51.0,3,3,1,331,0,0,Best Customers
13591.0,0,1,53.2,5,4,1,541,0,2,At Risk (Churn Danger)
17035.0,11,1,54.6,2,2,1,221,0,0,Best Customers
17290.0,1,1,56.45,5,4,1,541,0,2,At Risk (Churn Danger)
15287.0,12,1,58.2,1,1,1,111,0,0,Best Customers
18225.0,10,1,59.5,2,2,1,221,0,0,Best Customers
13208.0,11,1,61.12,1,1,1,111,0,0,Best Customers
17631.0,5,1,63.5,4,3,1,431,0,2,At Risk (Churn Danger)
14751.0,1,1,65.1,5,4,1,541,0,2,At Risk (Churn Danger)
17076.0,10,1,67.68,2,2,1,221,0,0,Best Customers
16459.0,4,1,71.79,4,4,1,441,0,2,At Risk (Churn Danger)
14710.0,5,2,73.5,4,5,1,451,0,2,At Risk (Churn Danger)
12523.0,7,1,74.56,3,2,1,321,0,0,Best Customers
17436.0,7,1,76.5,3,3,1,331,0,0,Best Customers
12843.0,1,1,76.84,5,4,1,541,0,2,At Risk (Churn Danger)
16593.0,9,1,79.6,2,2,1,221,0,0,Best Customers
15833.0,12,1,80.4,1,1,1,111,0,0,Best Customers
13410.0,6,1,81.12,3,3,1,331,0,2,At Risk (Churn Danger)
14717.0,8,1,81.3,2,2,1,221,0,0,Best Customers
14347.0,11,1,82.6,1,1,1,111,0,0,Best Customers
17867.0,12,1,85.95,1,1,1,111,0,0,Best Customers
17606.0,12,1,87.3,1,1,1,111,0,0,Best Customers
17852.0,6,1,88.05,3,3,1,331,0,2,At Risk (Churn Danger)
12346.0,0,3,90.0,5,5,1,551,0,1,Loyal Customers
12992.0,0,1,93.35,5,4,1,541,0,2,At Risk (Churn Danger)
16596.0,4,1,95.55,4,4,1,441,0,2,At Risk (Churn Danger)
15403.0,5,1,95.76,4,3,1,431,0,2,At Risk (Churn Danger)
16748.0,4,1,97.5,4,4,1,441,0,2,At Risk (Churn Danger)
16892.0,6,1,97.55,3,3,1,331,0,2,At Risk (Churn Danger)
13577.0,0,1,99.86,5,4,1,541,0,2,At Risk (Churn Danger)
15924.0,6,1,102.82,3,3,1,331,0,2,At Risk (Churn Danger)
13487.0,9,1,103.95,2,2,1,221,0,0,Best Customers
15642.0,4,1,105.78,4,4,1,441,0,2,At Risk (Churn Danger)
15662.0,13,1,105.85,1,1,1,111,0,0,Best Customers
17935.0,10,1,106.25,2,2,1,221,0,0,Best Customers
15850.0,1,1,106.65,5,4,1,541,0,2,At Risk (Churn Danger)
15917.0,12,2,106.67,1,4,1,141,0,0,Best Customers
16301.0,11,1,107.33,2,2,1,221,0,0,Best Customers
13807.0,10,1,107.95,2,2,1,221,0,0,Best Customers
16883.0,10,1,108.95,2,2,1,221,0,0,Best Customers
18203.0,6,1,109.08,3,3,1,331,0,2,At Risk (Churn Danger)
14942.0,4,1,109.35,4,3,1,431,0,2,At Risk (Churn Danger)
15684.0,10,1,109.4,2,2,1,221,0,0,Best Customers
14467.0,12,1,109.84,1,1,1,111,0,0,Best Customers
14662.0,11,1,110.7,1,1,1,111,0,0,Best Customers
16064.0,0,1,111.0,5,4,1,541,0,2,At Risk (Churn Danger)
13571.0,6,1,111.24,3,3,1,331,0,2,At Risk (Churn Danger)
14750.0,11,1,112.03,1,1,1,111,0,0,Best Customers
13457.0,12,1,112.5,1,1,1,111,0,0,Best Customers
14494.0,6,1,114.3,3,3,1,331,0,2,At Risk (Churn Danger)
17322.0,11,1,114.55,2,2,1,221,0,0,Best Customers
14302.0,12,1,114.6,1,1,1,111,0,0,Best Customers
15197.0,3,1,117.96,4,4,1,441,0,2,At Risk (Churn Danger)
15571.0,8,1,118.26,2,2,1,221,0,0,Best Customers
14838.0,11,1,119.1,2,1,1,211,0,0,Best Customers
14057.0,11,1,119.54,1,1,1,111,0,0,Best Customers
14483.0,11,1,120.0,1,1,1,111,0,0,Best Customers
15503.0,1,1,120.06,5,4,1,541,0,2,At Risk (Churn Danger)
15920.0,0,2,121.59,5,5,1,551,0,2,At Risk (Churn Danger)
14519.0,3,1,122.95,4,4,1,441,0,2,At Risk (Churn Danger)
17978.0,6,1,123.1,3,3,1,331,0,2,At Risk (Churn Danger)
15446.0,1,1,123.43,5,4,1,541,0,2,At Risk (Churn Danger)
15945.0,13,1,124.83,1,1,1,111,0,0,Best Customers
15577.0,1,1,124.9,5,4,1,541,0,2,At Risk (Churn Danger)
17804.0,13,1,124.95,1,1,1,111,0,0,Best Customers
15759.0,12,1,125.73,1,1,1,111,0,0,Best Customers
14454.0,8,1,125.94,2,2,1,221,0,0,Best Customers
13679.0,10,1,126.8,2,2,1,221,0,0,Best Customers
17056.0,13,1,128.6,1,1,1,111,0,0,Best Customers
15015.0,0,1,129.6,5,4,1,541,0,2,At Risk (Churn Danger)
12362.0,13,1,130.0,1,1,1,111,0,0,Best Customers
17818.0,12,1,130.18,1,1,1,111,0,0,Best Customers
16410.0,9,1,130.32,2,2,1,221,0,0,Best Customers
13727.0,5,1,130.6,4,3,1,431,0,2,At Risk (Churn Danger)
17421.0,10,1,130.8,2,2,1,221,0,0,Best Customers
16467.0,12,1,131.12,1,1,1,111,0,0,Best Customers
14122.0,3,2,131.59,4,5,1,451,0,2,At Risk (Churn Danger)
13782.0,8,1,132.4,2,2,1,221,0,0,Best Customers
17909.0,12,1,132.55,1,1,1,111,0,0,Best Customers
17351.0,4,1,133.75,4,4,1,441,0,2,At Risk (Churn Danger)
13728.0,5,1,135.0,4,3,1,431,0,2,At Risk (Churn Danger)
14171.0,5,1,135.0,4,3,1,431,0,2,At Risk (Churn Danger)
17854.0,6,1,135.94,3,3,1,331,0,2,At Risk (Churn Danger)
16699.0,10,1,137.4,2,2,1,221,0,0,Best Customers
16773.0,8,1,137.75,2,2,1,221,0,0,Best Customers
17127.0,10,1,137.95,2,2,1,221,0,0,Best Customers
13199.0,9,1,138.24,2,2,1,221,0,0,Best Customers
