customer_id,recency_days,frequency_count,monetary_value,r_score,f_score,m_score,rfm_combined_code
13393.0,7,1,8.92,3,2,1,321
13585.0,13,1,12.75,1,1,1,111
14191.0,3,1,15.90,4,4,1,441
13381.0,13,1,17.40,1,1,1,111
13666.0,10,1,19.50,2,2,1,221
15999.0,10,1,20.40,2,2,1,221
18037.0,13,1,21.95,1,1,1,111
17246.0,13,1,23.48,1,1,1,111
14173.0,5,1,23.60,4,3,1,431
13883.0,6,1,24.65,3,3,1,331
17916.0,8,1,25.46,3,2,1,321
14865.0,13,1,31.20,1,1,1,111
14977.0,0,1,31.93,5,4,1,541
17557.0,7,1,34.00,3,3,1,331
18002.0,6,1,44.32,3,3,1,331
17193.0,12,1,45.00,1,1,1,111
15672.0,0,1,45.30,5,4,1,541
17184.0,5,1,50.55,4,3,1,431
17707.0,7,1,51.00,3,3,1,331
13591.0,0,1,53.20,5,4,1,541
17035.0,11,1,54.60,2,2,1,221
17290.0,1,1,56.45,5,4,1,541
15287.0,12,1,58.20,1,1,1,111
18225.0,10,1,59.50,2,2,1,221
13208.0,11,1,61.12,1,1,1,111
17631.0,5,1,63.50,4,3,1,431
14751.0,1,1,65.10,5,4,1,541
17076.0,10,1,67.68,2,2,1,221
16459.0,4,1,71.79,4,4,1,441
14710.0,5,2,73.50,4,5,1,451
12523.0,7,1,74.56,3,2,1,321
17436.0,7,1,76.50,3,3,1,331
12843.0,1,1,76.84,5,4,1,541
16593.0,9,1,79.60,2,2,1,221
15833.0,12,1,80.40,1,1,1,111
13410.0,6,1,81.12,3,3,1,331
14717.0,8,1,81.30,2,2,1,221
14347.0,11,1,82.60,1,1,1,111
17867.0,12,1,85.95,1,1,1,111
17606.0,12,1,87.30,1,1,1,111
17852.0,6,1,88.05,3,3,1,331
12346.0,0,3,90.00,5,5,1,551
12992.0,0,1,93.35,5,4,1,541
16596.0,4,1,95.55,4,4,1,441
15403.0,5,1,95.76,4,3,1,431
16748.0,4,1,97.50,4,4,1,441
16892.0,6,1,97.55,3,3,1,331
13577.0,0,1,99.86,5,4,1,541
15924.0,6,1,102.82,3,3,1,331
13487.0,9,1,103.95,2,2,1,221
15642.0,4,1,105.78,4,4,1,441
15662.0,13,1,105.85,1,1,1,111
17935.0,10,1,106.25,2,2,1,221
15850.0,1,1,106.65,5,4,1,541
15917.0,12,2,106.67,1,4,1,141
16301.0,11,1,107.33,2,2,1,221
13807.0,10,1,107.95,2,2,1,221
16883.0,10,1,108.95,2,2,1,221
18203.0,6,1,109.08,3,3,1,331
14942.0,4,1,109.35,4,3,1,431
15684.0,10,1,109.40,2,2,1,221
14467.0,12,1,109.84,1,1,1,111
14662.0,11,1,110.70,1,1,1,111
16064.0,0,1,111.00,5,4,1,541
13571.0,6,1,111.24,3,3,1,331
14750.0,11,1,112.03,1,1,1,111
13457.0,12,1,112.50,1,1,1,111
14494.0,6,1,114.30,3,3,1,331
17322.0,11,1,114.55,2,2,1,221
14302.0,12,1,114.60,1,1,1,111
15197.0,3,1,117.96,4,4,1,441
15571.0,8,1,118.26,2,2,1,221
14838.0,11,1,119.10,2,1,1,211
14057.0,11,1,119.54,1,1,1,111
14483.0,11,1,120.00,1,1,1,111
15503.0,1,1,120.06,5,4,1,541
15920.0,0,2,121.59,5,5,1,551
14519.0,3,1,122.95,4,4,1,441
17978.0,6,1,123.10,3,3,1,331
15446.0,1,1,123.43,5,4,1,541
15945.0,13,1,124.83,1,1,1,111
15577.0,1,1,124.90,5,4,1,541
17804.0,13,1,124.95,1,1,1,111
15759.0,12,1,125.73,1,1,1,111
14454.0,8,1,125.94,2,2,1,221
13679.0,10,1,126.80,2,2,1,221
17056.0,13,1,128.60,1,1,1,111
15015.0,0,1,129.60,5,4,1,541
12362.0,13,1,130.00,1,1,1,111
17818.0,12,1,130.18,1,1,1,111
16410.0,9,1,130.32,2,2,1,221
13727.0,5,1,130.60,4,3,1,431
17421.0,10,1,130.80,2,2,1,221
16467.0,12,1,131.12,1,1,1,111
14122.0,3,2,131.59,4,5,1,451
13782.0,8,1,132.40,2,2,1,221
17909.0,12,1,132.55,1,1,1,111
17351.0,4,1,133.75,4,4,1,441
13728.0,5,1,135.00,4,3,1,431
14171.0,5,1,135.00,4,3,1,431
17854.0,6,1,135.94,3,3,1,331
16699.0,10,1,137.40,2,2,1,221
16773.0,8,1,137.75,2,2,1,221
17127.0,10,1,137.95,2,2,1,221
13199.0,9,1,138.24,2,2,1,221
12920.0,0,2,138.90,5,5,1,551
17150.0,8,1,139.25,3,2,1,321
17027.0,4,1,139.85,4,4,1,441
12636.0,13,1,141.00,1,1,1,111
14723.0,10,1,141.63,2,2,1,221
15989.0,12,1,143.11,1,1,1,111
13825.0,5,1,143.36,4,3,1,431
14574.0,7,1,143.70,3,3,1,331
14871.0,13,1,145.00,1,1,1,111
16127.0,1,1,145.06,5,4,1,541
16158.0,9,1,146.62,2,2,1,221
13190.0,7,1,147.10,3,2,1,321
15479.0,8,1,147.40,2,2,1,221
17592.0,13,1,148.30,1,1,1,111
12820.0,9,1,148.30,2,2,1,221
13733.0,10,1,149.10,2,2,1,221
17866.0,0,1,149.50,5,4,1,541
15641.0,8,1,150.40,2,2,1,221
14980.0,12,1,150.68,1,1,1,111
14285.0,6,1,151.20,3,3,1,331
17372.0,11,1,151.65,2,2,1,221
18219.0,7,1,151.72,3,3,1,331
15196.0,1,1,152.25,5,4,1,541
14512.0,7,1,153.28,3,2,1,321
17314.0,11,1,154.20,2,2,1,221
13070.0,7,1,154.20,3,2,1,321
17371.0,6,2,154.29,3,5,1,351
16442.0,1,1,155.06,5,4,1,541
13948.0,10,1,155.65,2,2,1,221
17268.0,6,1,155.70,3,3,1,331
12933.0,4,1,155.79,4,3,1,431
14540.0,7,1,156.50,3,3,1,331
15967.0,13,1,156.71,1,1,1,111
16987.0,12,1,157.91,1,1,1,111
14238.0,9,1,159.10,2,2,1,221
13654.0,12,1,159.98,1,1,1,111
16645.0,10,1,160.39,2,2,1,221
17487.0,3,1,160.55,5,4,1,541
14713.0,11,1,160.69,1,1,1,111
15691.0,8,1,161.80,2,2,1,221
15534.0,0,1,162.25,5,4,1,541
15181.0,6,1,162.72,3,3,1,331
14107.0,5,1,163.26,4,3,1,431
17660.0,12,1,163.47,1,1,1,111
14955.0,7,1,163.77,3,3,1,331
17318.0,0,1,164.28,5,4,1,541
14043.0,4,1,164.31,4,3,1,431
16663.0,4,1,165.00,4,4,1,441
16686.0,8,2,167.14,2,5,1,251
17988.0,6,2,167.65,3,5,1,351
15965.0,11,1,169.50,2,1,1,211
12937.0,11,1,170.06,1,1,1,111
14507.0,4,1,171.50,4,3,1,431
17880.0,5,1,171.60,4,3,2,432
13462.0,0,1,171.82,5,4,2,542
13748.0,13,1,173.10,1,1,2,112
16126.0,12,1,174.10,1,1,2,112
13770.0,5,1,174.33,4,3,2,432
17432.0,11,1,174.85,2,2,2,222
17848.0,8,1,175.20,3,2,2,322
13983.0,5,1,175.95,4,3,2,432
18001.0,12,1,176.60,1,1,2,112
16797.0,12,1,176.88,1,1,2,112
13542.0,4,1,177.91,4,3,2,432
15209.0,5,1,178.98,4,3,2,432
14799.0,12,1,180.45,1,1,2,112
15882.0,4,1,181.63,4,4,2,442
12934.0,11,1,181.65,1,1,2,112
14940.0,8,1,182.01,2,2,2,222
15971.0,6,1,182.88,3,3,2,332
16782.0,5,1,185.90,4,3,2,432
14958.0,11,1,186.36,2,1,2,212
16556.0,7,1,187.19,3,3,2,332
17075.0,0,1,187.70,5,4,2,542
14211.0,5,1,187.80,4,3,2,432
16277.0,8,1,188.69,2,2,2,222
16823.0,12,1,189.30,1,1,2,112
14670.0,7,1,190.47,3,3,2,332
15115.0,7,1,191.74,3,3,2,332
15633.0,6,1,191.89,3,3,2,332
14000.0,12,1,192.00,1,1,2,112
17561.0,8,1,192.27,3,2,2,322
16436.0,7,2,192.45,3,5,2,352
18271.0,6,1,192.55,3,3,2,332
17764.0,11,1,194.65,2,2,2,222
16018.0,7,1,195.78,3,3,2,332
16321.0,13,1,196.10,1,1,2,112
16190.0,0,1,196.92,5,4,2,542
17623.0,0,1,197.05,5,4,2,542
17343.0,11,1,197.30,2,2,2,222
13442.0,13,1,198.00,1,1,2,112
16365.0,3,1,198.77,5,4,2,542
17969.0,1,2,199.65,5,5,2,552
16470.0,3,1,199.68,5,4,2,542
14990.0,5,1,200.24,4,3,2,432
14915.0,11,1,202.06,2,1,2,212
13269.0,12,2,202.84,1,4,2,142
16771.0,5,1,203.30,4,3,2,432
14867.0,9,1,203.32,2,2,2,222
13979.0,11,1,203.78,1,1,2,112
15039.0,4,1,203.85,4,3,2,432
14468.0,8,1,204.24,2,2,2,222
16901.0,4,1,204.26,4,4,2,442
13485.0,6,2,204.70,3,5,2,352
16964.0,8,2,207.85,3,5,2,352
14590.0,4,2,208.00,4,5,2,452
14471.0,7,1,208.83,3,2,2,322
16798.0,4,1,208.90,4,4,2,442
14003.0,7,1,209.41,3,2,2,322
17271.0,11,1,210.39,2,2,2,222
12577.0,11,1,210.55,1,1,2,112
15456.0,6,1,211.41,3,3,2,332
15878.0,8,1,212.13,2,2,2,222
